"","n.samp","shape_1","scale_1","initial_HR","Changepoint","gamma","rps"
"1",200,1.2,0.3,0.25,-0.0009083399,-0.1567613944,-0.1155392338
"2",500,1.2,0.3,0.25,-0.003419335,-0.1517451593,-0.1133958434
"3",1000,1.2,0.3,0.25,-0.0121421155,-0.1521926411,-0.1179861731
"4",200,0.7,0.3,0.25,-0.01799434,-0.19879,-0.2957948
"5",500,0.7,0.3,0.25,-0.0401983947,-0.2194829555,-0.3094859781
"6",1000,0.7,0.3,0.25,-0.01599705,-0.1997901,-0.2931733
"7",200,1.2,0.3,0.5,0.0048943795,-0.0894801383,-0.050599637
"8",500,1.2,0.3,0.5,-0.0071898431,-0.0967178025,-0.0664201984
"9",1000,1.2,0.3,0.5,-0.010006961,-0.097383286,-0.076114251
"10",200,0.7,0.3,0.5,-0.0279608957,-0.2000490029,-0.276961661
"11",500,0.7,0.3,0.5,-0.0378100376,-0.2161755226,-0.2924836967
"12",1000,0.7,0.3,0.5,-0.0288904484,-0.201486485,-0.2788850701
"13",200,1.2,0.3,0.75,0.005972331,-0.067561761,-0.05511701
"14",500,1.2,0.3,0.75,0.02593396,-0.06925935,-0.06375123
"15",1000,1.2,0.3,0.75,0.037818506,-0.07148666,-0.068710164
"16",200,0.7,0.3,0.75,0.1294224182,-0.13708665,-0.2024521686
"17",500,0.7,0.3,0.75,0.0042974121,-0.1722054798,-0.242566001
"18",1000,0.7,0.3,0.75,-0.1022602234,-0.2418649441,-0.3020420473
